id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_manfaat,satuan,tahun
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,114773,KELUARGA PENERIMA MANFAAT,2024
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,87663,KELUARGA PENERIMA MANFAAT,2024
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,111796,KELUARGA PENERIMA MANFAAT,2024
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,99453,KELUARGA PENERIMA MANFAAT,2024
194,32,JAWA BARAT,3205,KABUPATEN GARUT,114753,KELUARGA PENERIMA MANFAAT,2024
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,100718,KELUARGA PENERIMA MANFAAT,2024
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,57454,KELUARGA PENERIMA MANFAAT,2024
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,40746,KELUARGA PENERIMA MANFAAT,2024
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,87462,KELUARGA PENERIMA MANFAAT,2024
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,61261,KELUARGA PENERIMA MANFAAT,2024
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50781,KELUARGA PENERIMA MANFAAT,2024
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,68116,KELUARGA PENERIMA MANFAAT,2024
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,63745,KELUARGA PENERIMA MANFAAT,2024
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,26518,KELUARGA PENERIMA MANFAAT,2024
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,60036,KELUARGA PENERIMA MANFAAT,2024
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,45788,KELUARGA PENERIMA MANFAAT,2024
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,62247,KELUARGA PENERIMA MANFAAT,2024
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,19647,KELUARGA PENERIMA MANFAAT,2024
208,32,JAWA BARAT,3271,KOTA BOGOR,26466,KELUARGA PENERIMA MANFAAT,2024
209,32,JAWA BARAT,3272,KOTA SUKABUMI,9460,KELUARGA PENERIMA MANFAAT,2024
210,32,JAWA BARAT,3273,KOTA BANDUNG,43580,KELUARGA PENERIMA MANFAAT,2024
211,32,JAWA BARAT,3274,KOTA CIREBON,10551,KELUARGA PENERIMA MANFAAT,2024
212,32,JAWA BARAT,3275,KOTA BEKASI,31593,KELUARGA PENERIMA MANFAAT,2024
213,32,JAWA BARAT,3276,KOTA DEPOK,23721,KELUARGA PENERIMA MANFAAT,2024
214,32,JAWA BARAT,3277,KOTA CIMAHI,9086,KELUARGA PENERIMA MANFAAT,2024
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65486,KELUARGA PENERIMA MANFAAT,2024
216,32,JAWA BARAT,3279,KOTA BANJAR,5366,KELUARGA PENERIMA MANFAAT,2024
